holdet_person_id,holdet_rider_name,pcs_rider_id,pcs_rider_name,holdet_team_name,manager_holdet_player_id,manager_category,manager_is_out,trading_holdet_player_id,trading_start_price,trading_price,trading_points,trading_popularity,trading_is_out,results_2026_rows,race_days_2026,distinct_races_2026,stage_rows_2026,classification_rows_2026,wins_2026,podiums_2026,top10s_2026,pcs_points_2026_total,uci_points_2026_total,last_result_date_2026,gt_stage_rows_2025,gt_stage_days_2025,gt_count_2025,giro_stage_rows_2025,tour_stage_rows_2025,vuelta_stage_rows_2025,best_gt_stage_result_2025,best_gt_gc_result_2025,best_gt_points_result_2025,best_gt_kom_result_2025,best_gt_youth_result_2025,gt_stage_wins_2025,gt_stage_top5s_2025,gt_stage_top10s_2025
4714,Kaden Groves,kaden-groves,Groves Kaden,Alpecin-Premier Tech,46582,Kategori 2,f,47375,8500000,8500000,0.00,,f,9,7,3,9,0,0,0,1,7.00,2.00,2026-03-01,42,42,2,21,21,0,1,86,6,41,,2,7,9
47158,Francesco Busatto,francesco-busatto,Busatto Francesco,Alpecin-Premier Tech,46563,Kategori 4,f,47354,3500000,3500000,0.00,,f,18,15,4,18,0,0,1,2,79.00,115.00,2026-03-29,21,21,1,21,0,0,4,99,70,,23,0,1,1
2129,Damiano Caruso,damiano-caruso,Caruso Damiano,Bahrain - Victorious,46545,Kategori 2,f,47333,6000000,6000000,0.00,,f,25,21,4,25,0,0,0,0,47.00,40.00,2026-03-21,21,21,1,21,0,0,4,5,23,52,,0,1,5
4301,Santiago Buitrago,santiago-buitrago-sanchez,Buitrago Santiago,Bahrain - Victorious,46602,Kategori 2,f,47400,6500000,6500000,0.00,,f,28,23,6,28,0,1,1,6,330.00,567.00,2026-03-29,42,42,2,0,21,21,3,15,18,20,,0,2,4
46805,Afonso Eulálio,afonso-eulalio,Eulálio Afonso,Bahrain - Victorious,46533,Kategori 3,f,47320,4000000,4000000,0.00,,f,26,20,4,26,0,0,2,5,108.00,151.00,2026-03-29,19,19,1,19,0,0,10,,,,,0,0,1
5016,Alec Segaert,alec-segaert,Segaert Alec,Bahrain - Victorious,46536,Kategori 3,f,47323,4000000,4000000,0.00,,f,14,14,14,14,0,1,1,1,217.00,411.00,2026-04-12,21,21,1,0,0,21,8,96,72,,34,0,0,3
4662,Edoardo Zambanini,edoardo-zambanini,Zambanini Edoardo,Bahrain - Victorious,46554,Kategori 3,f,47344,4000000,4000000,0.00,,f,23,18,7,23,0,0,0,4,102.00,219.00,2026-03-21,21,21,1,21,0,0,2,27,16,,7,0,2,2
4921,Matevz Govekar,matevz-govekar,Govekar Matevž,Bahrain - Victorious,46590,Kategori 4,f,47385,3500000,3500000,0.00,,f,23,21,11,23,0,0,0,2,75.00,158.00,2026-04-12,21,21,1,21,0,0,9,142,92,,32,0,0,2
50781,Filippo Turconi,filippo-turconi,Turconi Filippo,Bardiani CSF 7 Saber,47296,Kategori 4,f,47352,3000000,3000000,0.00,,f,25,21,15,25,0,0,0,5,15.00,38.00,2026-04-17,0,0,0,0,0,0,,,,,,0,0,0
4957,Manuele Tarozzi,manuele-tarozzi,Tarozzi Manuele,Bardiani CSF 7 Saber,47297,Kategori 4,f,47382,2500000,2500000,0.00,,f,25,21,9,25,0,0,0,0,10.00,0,2026-04-17,21,21,1,21,0,0,32,91,17,4,,0,0,0
4356,Felix Gall,felix-gall,Gall Felix,Decathlon CMA CGM Team,46558,Kategori 1,f,47349,9000000,9000000,0.00,,f,19,14,2,19,0,0,2,8,292.00,453.00,2026-03-29,42,42,2,0,21,21,4,5,12,7,,0,5,12
4935,Tobias Lund Andresen,tobias-lund-andresen,Andresen Tobias Lund,Decathlon CMA CGM Team,46607,Kategori 1,f,47405,9000000,9000000,0.00,,f,25,20,9,25,0,4,8,13,783.00,1480.00,2026-04-01,21,21,1,0,21,0,3,96,29,,24,0,1,2
3405,Gregor Muhlberger,gregor-muhlberger,Mühlberger Gregor,Decathlon CMA CGM Team,46568,Kategori 4,f,47359,3500000,3500000,0.00,,f,18,15,3,18,0,0,0,1,15.00,16.00,2026-03-15,21,21,1,0,21,0,11,18,104,21,,0,0,0
3148,Oliver Naesen,oliver-naesen,Naesen Oliver,Decathlon CMA CGM Team,46598,Kategori 4,f,47395,3000000,3000000,0.00,,f,27,23,11,27,0,0,0,0,79.00,137.00,2026-04-12,21,21,1,0,21,0,28,73,,,,0,0,0
46815,Tord Gudmestad,tord-gudmestad,Gudmestad Tord,Decathlon CMA CGM Team,46608,Kategori 4,f,47406,3000000,3000000,0.00,,f,25,21,10,25,0,0,1,1,84.00,88.00,2026-04-03,21,21,1,21,0,0,13,134,,,30,0,0,0
3539,Richard Carapaz,richard-carapaz,Carapaz Richard,EF Education - EasyPost,46601,Kategori 2,f,47398,8500000,8500000,0.00,,f,19,16,4,19,0,0,0,2,110.00,123.00,2026-03-29,21,21,1,21,0,0,1,3,9,7,,1,5,8
2747,Michael Valgren,michael-valgren-andersen,Valgren Michael,EF Education - EasyPost,46594,Kategori 3,f,47390,4000000,4000000,0.00,,f,16,13,7,16,0,1,1,2,167.00,264.00,2026-04-05,21,21,1,0,21,0,9,72,93,,,0,0,1
5029,Darren Rafferty,darren-rafferty,Rafferty Darren,EF Education - EasyPost,46547,Kategori 4,f,47335,2500000,2500000,0.00,,f,25,20,10,25,0,0,0,1,9.00,13.57,2026-03-29,21,21,1,21,0,0,30,87,99,56,19,0,0,0
4405,Samuele Battistella,samuele-battistella,Battistella Samuele,EF Education - EasyPost,47300,Kategori 4,f,47399,3000000,3000000,0.00,,f,23,20,12,23,0,0,0,1,14.00,21.00,2026-04-04,0,0,0,0,0,0,,,,,,0,0,0
4922,Lorenzo Germani,lorenzo-germani,Germani Lorenzo,Groupama - FDJ United,46587,Kategori 4,f,47380,2500000,2500000,0.00,,f,30,24,6,30,0,0,0,1,18.00,6.00,2026-03-29,21,21,1,21,0,0,16,63,76,20,13,0,0,0
3820,Filippo Ganna,filippo-ganna,Ganna Filippo,INEOS Grenadiers,46560,Kategori 2,f,47351,9000000,9000000,0.00,,f,20,16,6,20,0,3,3,6,339.00,545.00,2026-04-12,22,22,2,0,1,21,1,131,53,,,1,2,2
4392,Thymen Arensman,thymen-arensman,Arensman Thymen,INEOS Grenadiers,46605,Kategori 2,f,47403,7500000,7500000,0.00,,f,15,12,2,15,0,0,1,3,119.00,128.00,2026-03-15,42,42,2,21,21,0,1,12,18,4,,2,3,4
4660,Jonathan Milan,jonathan-milan,Milan Jonathan,Lidl - Trek,46580,Kategori 1,f,47373,11500000,11500000,0.00,,f,29,23,7,29,0,8,9,12,312.00,338.00,2026-04-12,21,21,1,0,21,0,1,146,1,,41,2,4,4
4876,Derek Gee,derek-gee,Gee-West Derek,Lidl - Trek,46550,Kategori 2,f,47339,8000000,8000000,0.00,,f,15,13,3,15,0,0,0,3,108.00,170.00,2026-03-27,21,21,1,21,0,0,5,4,27,43,,0,1,5
