holdet_person_id,holdet_rider_name,pcs_rider_id,pcs_rider_name,season,result_date,race_name,result_label,result_scope,grand_tour_slug,race_class,rank_position,raw_result,kms,pcs_points,uci_points,vertical_meters,source_url,fetched_at
2638,Adam Yates,adam-yates,Adam Yates,2026,2026-04-16,O Gran Camiño - The Historical Route,Stage 3,SEASON_RACE,,2.1,5,5,169.0,4.00,,2695,https://www.procyclingstats.com/race/gran-camino/2026/stage-3,2026-04-17 10:34:27.426306+00
2638,Adam Yates,adam-yates,Adam Yates,2026,2026-04-15,O Gran Camiño - The Historical Route,Stage 2,SEASON_RACE,,2.1,29,29,148.6,,,1681,https://www.procyclingstats.com/race/gran-camino/2026/stage-2,2026-04-17 10:34:27.426306+00
2638,Adam Yates,adam-yates,Adam Yates,2026,2026-04-14,O Gran Camiño - The Historical Route,Stage 1 (ITT),SEASON_RACE,,2.1,6,6,15.0,3.00,,235,https://www.procyclingstats.com/race/gran-camino/2026/stage-1,2026-04-17 10:34:27.426306+00
2638,Adam Yates,adam-yates,Adam Yates,2026,2026-02-22,UAE Tour,General classification,SEASON_RACE,,2.UWT,15,15,,40.00,35.00,,https://www.procyclingstats.com/race/uae-tour/2026/gc,2026-04-17 10:34:27.426306+00
2638,Adam Yates,adam-yates,Adam Yates,2026,2026-02-22,UAE Tour,Stage 7,SEASON_RACE,,2.UWT,50,50,149.0,,,587,https://www.procyclingstats.com/race/uae-tour/2026/stage-7,2026-04-17 10:34:27.426306+00
2638,Adam Yates,adam-yates,Adam Yates,2026,2026-02-21,UAE Tour,Stage 6,SEASON_RACE,,2.UWT,22,22,168.0,,,1646,https://www.procyclingstats.com/race/uae-tour/2026/stage-6,2026-04-17 10:34:27.426306+00
2638,Adam Yates,adam-yates,Adam Yates,2026,2026-02-20,UAE Tour,Stage 5,SEASON_RACE,,2.UWT,40,40,168.0,,,867,https://www.procyclingstats.com/race/uae-tour/2026/stage-5,2026-04-17 10:34:27.426306+00
2638,Adam Yates,adam-yates,Adam Yates,2026,2026-02-19,UAE Tour,Stage 4,SEASON_RACE,,2.UWT,58,58,182.0,,,2360,https://www.procyclingstats.com/race/uae-tour/2026/stage-4,2026-04-17 10:34:27.426306+00
2638,Adam Yates,adam-yates,Adam Yates,2026,2026-02-18,UAE Tour,Stage 3,SEASON_RACE,,2.UWT,13,13,183.0,,,2617,https://www.procyclingstats.com/race/uae-tour/2026/stage-3,2026-04-17 10:34:27.426306+00
2638,Adam Yates,adam-yates,Adam Yates,2026,2026-02-17,UAE Tour,Stage 2 (ITT),SEASON_RACE,,2.UWT,62,62,12.2,,,101,https://www.procyclingstats.com/race/uae-tour/2026/stage-2,2026-04-17 10:34:27.426306+00
